chainname,chainid
Kohl's,556df7e1a7c82e6b724d822a
Kool Smiles Dentist,556a3b40a7c8957d73d57a57
Krispy Kreme Doughnuts,556c96cda7c8a11a36bde31e
Kroger,556e0690a7c82e6b724e70ac
Krystal,556f40abbd6a007c7738472e
Kum & Go,556ce8d9aceaff43eb0588dc
Kumon,556e119fa7c82e6b725012e8
Kwik Fill,57fe5392498e069a566834bd
Kwik Shop,556a3656a7c8957d73d50fdc
Kwik Stop,5568f77fa7c8a9cf8ec4eb8f
Kwik Trip / Kwik Star,556cea95aceaff43eb05d1e9
L'Occitane en Provence,556a34b9a7c8957d73d4de08
LA Fitness,556d0900aceaff43eb07f9de
La Petite Academy,556cea95aceaff43eb05d1db
La Quinta Inns & Suites,556d1612aceaff43eb0990c5
LabCorp,58a5ccc3fc5a5f24e0f2e8f6
Lacoste,556a32c4a7c8957d73d4a2e1
Land Rover,57c0916b498ed69cc2fcc222
Lane Bryant,556d0b88aceaff43eb0862c1
Ledo Pizza,556f43bdbd6a007c7738aac0
Lennar,556cfc3faceaff43eb0690b5
Lenny's Sub Shop,556a379ea7c8957d73d539cb
LensCrafters,556d1d36aceaff43eb0a9e64
Les Schwab,556ce673aceaff43eb0548f7
Lexus,556f3c25bd6a8104863bf274
